연번,음식이름정보,에너지(칼로리)정보,단백질,칼슘,비타민(A),비타민(B1),비타민(B2),그외 영양소 1,그외 영양소 2,그외 영양소 3
1,누룬밥,174,0.75,0,0.05,0.02,0.7,0,1.8,0
2,누룽지,174,0.75,0,0.05,0.02,0.7,0,1.8,0
3,쌀밥,313.2,1.35,0,0.09,0.03,1.26,0,3.24,0
4,찰밥,336.6,1.04,0,0.13,0.07,1.44,0,6.12,0
5,현미밥,318.6,1.85,0,0.31,0.06,2.16,0,18,1.8
6,강남콩밥,347.6,1.63,0.2,0.12,0.05,1.44,0,42.65,0
7,녹두밥,346.7,1.6,1.2,0.13,0.04,1.46,0,42.87,0.1
8,밤밥,327,1.38,2.4,0.16,0.05,1.42,3.6,17.4,0
9,밤팥밥,307.2,1.67,1.6,0.16,0.05,1.41,2.4,54.49,0.1
10,보리밥,347.7,1.42,0,0.13,0.03,1.35,0,8.24,0.1
11,수수밥,349.2,1.48,0,0.1,0.03,1.68,0,8.58,0.2
12,오곡밥,380.55,1.92,0,0.2,0.09,2.05,0,60.55,0.38
13,옥수수밥,346.9,1.56,3.5,0.12,0.04,1.4,0,5.89,0.3
14,완두콩밥,337.2,2.15,10.2,0.16,0.12,10.26,0,16.24,0
15,율무밥,351.1,1.53,0,0.11,0.03,1.59,0,5.89,0.3
16,잡곡밥,347.6,1.84,0,0.14,0.05,1.94,0,50.51,0.3
17,조밥,353.8,1.82,0,0.12,0.04,1.42,0,8.58,0.2
18,차수수밥,348.6,1.49,0,0.1,0.03,1.54,0,6.09,0.1
19,차조밥,354.9,1.59,0,0.13,0.05,2.01,0,9.06,0.2
20,콩밥,351,1.62,0,0.12,0.05,1.45,0,15.94,0.1
21,팥밥,344.4,1.85,0,0.13,0.04,1.49,0,45.53,0.1
22,감자밥,300.4,1.36,0,0.11,0.04,1.64,8.4,8.2,0
23,고구마밥,329.6,1.31,7.6,0.1,0.04,1.4,10,23.68,0.4
24,야채밥,314.06,1.45,82.06,0.12,0.07,1.76,6.77,10.1,0.61
25,영양밥(돌솥밥),353.1,1.42,3.2,0.2,0.14,2.51,6.55,42.76,0.25
26,콩나물밥,332.15,1.87,21,0.26,0.14,2.85,6.73,11.51,1.14
27,김치볶음밥,374.38,1.7,166.57,0.27,0.13,3.29,13.3,45,5.24
28,야채볶음밥,449.83,2.08,433.57,0.34,0.16,2.41,12.63,16.36,5.95
29,비빔밥,484.79,2.8,696.9,0.21,0.32,3.58,19.78,78.02,5.14
30,새우볶음밥,397.58,1.93,260.87,0.14,0.12,4.93,13,24.43,5.75
31,쇠고기볶음밥,427.76,2.43,264.22,0.16,0.13,5.73,12.8,18.27,5.4
32,열무비빔밥,368.98,2.01,376.59,0.16,0.18,2.98,19.76,30.09,0.52
33,오므라이스,519.6,3.12,367.7,0.24,0.29,8.02,17.5,39.68,6.26
34,참치볶음밥,428.37,2.02,151.22,0.2,0.2,12.78,7.2,33.12,6.64
35,콩나물비빔밥,377.55,2.23,42.01,0.18,0.16,3.12,8.89,14.92,1.41
36,국밥,411.05,2.47,26.82,0.15,0.13,3.74,12.38,41.04,0.26
37,계란덮밥,466.4,2.53,206.41,0.22,0.27,3.55,4.89,23.36,0.71
38,닭고기덮밥,431.8,2.66,159.01,0.2,0.18,6.5,5.89,20.27,0.01
39,돈육카레라이스,456.8,2.27,277.6,0.32,0.12,5.86,11.9,64.62,0.41
40,두부덮밥,434.8,2.56,128.41,0.2,0.16,3.92,4.89,30.01,0.81
41,두부카레라이스,455.55,2.24,217.46,0.27,0.12,6.48,11.24,65.18,1.26
42,버섯덮밥,405.1,2.47,129.91,0.24,0.3,5.72,8.79,34.85,0.01
43,쇠고기덮밥,447.14,2.53,137.56,0.18,0.18,4.64,9.04,26.09,0.63
44,순대국밥,416.62,3.23,136.28,0.2,0.18,5.33,4.6,28.84,0.47
45,오징어덮밥,443.6,2.44,255.31,0.18,0.16,4.32,33.44,39.48,5.89
46,잡채밥,525.97,2.17,251.2,0.3,0.16,3.42,14.42,39.68,6.59
47,잡탕밥,521.95,2.94,190.85,0.27,0.29,4.6,8.65,40.15,7.2
48,짜장밥,487.1,2.14,27.16,0.31,0.16,5.41,20.39,48.18,5.41
49,참치회덮밥,459.54,1.9,338.09,0.24,0.23,9.92,23.12,52.91,1.58
50,한치회덮밥,436.44,2.95,333.89,0.21,0.14,3.41,21.72,59.42,3.68
51,해물덮밥,379.71,2.27,145.81,0.13,0.12,3.55,16.44,20.04,2.2
52,김밥,446.45,1.92,373.65,0.17,0.22,2.16,14.17,59.34,6.84
53,김초밥,451.29,2.31,375,0.18,0.36,2.55,3.72,42.95,2.65
54,생선초밥,518.01,3.49,431.94,0.46,0.36,9.21,2.54,40.71,2.62
55,유부초밥,456.98,1.81,62.85,0.11,0.04,1.43,0.6,12.09,2.17
56,고로케,458.8,0.7,77.5,0.09,0.19,1.71,0,44.95,0
57,곰보빵(소보로),300.8,0.22,23.2,0.11,0.05,1.04,0,24,1.6
58,"데니쉬페이스트리,과일(패스트푸드)",334.64,0.48,24.44,0.29,0.21,1.79,2,15.04,0.94
59,"데니쉬페이스트리,시나몬(패스트푸드)",349.36,0,5.28,0.26,0.19,2.2,2.99,0,0
60,"데니쉬페이스트리,치즈(패스트푸드)",353.08,0.63,42.77,0.27,0.21,2.6,3,14.56,2.73
61,"도우넛,링",329.6,0.36,11.2,0.07,0.09,1.12,0,17.28,2.4
62,"도우넛,팥",319.2,0.36,20.8,0.08,0.06,0.4,0,17.28,2.4
63,"롤빵,소프트롤",223.2,0.62,0,0.05,0.06,0.64,0,24,0
64,"롤빵,하드롤",240.8,0.52,0,0.39,0.26,3.2,0,24,0
65,머핀,240.8,0.45,6.4,0.22,0.24,1.84,0,9.6,0
66,모카빵,291.2,0.6,12,0.12,0.08,0.88,0,24,1.6
67,"바게뜨빵,마늘바게뜨",400,0.63,32,0.11,0.05,1.04,0,76,0
68,버리토(패스트푸드),391.5,0,50.11,0.37,0.3,5.39,2,0,0
69,"베이걸,건포도계피,토스트",237.6,0.58,4,0.26,0.22,2.4,0.8,61.6,0
70,블란서빵,234.4,0.63,0,0.06,0.03,0.48,0,76,0
71,비스켓(패스트푸드),274.54,0.29,7.4,0.27,0.18,1.63,0,5.92,1.48
72,비스켓(KFC),221.96,0.24,0.62,0.23,0.11,1.48,0,4.96,1.24
73,"비스켓,버터밀크(웬디스)",318.66,0.37,47,0.04,0.04,0.24,22.56,7.52,1.88
74,"샌드위치,계란,치즈",411.84,1.99,59.84,0.32,0.69,2.46,1.76,44,0
75,"샌드위치,로스트비프",436.48,4.29,19.36,0.48,0.39,7.39,3.52,51.04,0
76,"샌드위치,생선",485.76,1.11,8.8,0.37,0.25,3.87,3.52,53.68,1.76
77,"샌드위치,아침용샌드위치(웬디스)",370.23,0,67.08,0.49,0.23,3.42,3.92,0,0
78,"샌드위치,치킨",499.84,1.81,7.04,0.32,0.23,6.51,8.8,28.16,0
79,"샌드위치,햄,치즈",361.5,1.41,78,0.32,0.5,2.7,2.85,73.5,0
80,슈크림,195.2,0.42,81.6,0.04,0.11,0.4,0,22.4,0
81,식빵,277,0.75,2,0.07,0.05,1.1,0,30,2
82,엔칠라다(패스트푸드),395.6,0,262.2,0.18,0.25,0,0,0,0
83,옥수수빵,311,0.75,15,0.24,0.27,2.1,0,11,2
84,와플,231.3,0.42,72.9,0.05,0.16,0.18,0,10.8,0.9
85,"잉글리쉬머핀,버터포함(패스트푸드)",189,0.45,10.08,0.25,0.32,2.65,0.63,7.56,0
86,쨈빵,224,0.59,0,0.04,0.03,0.32,0,24,4.8
87,"찐빵,고기",203.2,1.95,2.4,0.17,0.12,1.6,6.4,23.2,0
88,"찐빵,팥",197.6,0.34,0,0.06,0.02,0.4,0,24,4.8
89,쵸코파이(롯데),133.8,0.18,9.6,0.01,0.02,0.09,0,9,1.8
90,카스테라,323,0.55,60,0.05,0.08,0.2,0,13.7,0
91,커스터드,84.8,0.45,13.6,0.02,0.18,0.08,0.88,8,0
92,"케이크,당근케이크",314.1,0.35,76.5,0.12,0.15,1.08,0,27,5.4
93,"케이크,롤케이크",310.25,0.1,110.5,0.07,0.1,0.17,0,25.5,5.1
94,"케이크,바나나케이크",306,0,33.41,0.01,0.12,0.8,0,0,0
95,"케이크,생크림,블루베리",207.4,0.55,29.75,0.01,0.05,0.09,0,2.55,1.7
96,"케이크,쇼트케이크",306,0.36,87.3,0.05,0.15,0.18,0,27,5.4
97,"케이크,스폰지케이크",294.1,0.1,69.7,0.04,0.1,0.09,0,25.5,5.1
98,"케이크,엔젤케이크",241.2,0.11,0,0.09,0.44,0.81,0,27,5.4
99,"케이크,쵸코케이크",393.3,0.41,70.2,0.03,0.09,0.18,0,27,5.4
100,"케이크,치즈케이크",270.9,0.5,63.9,0.04,0.12,0.45,0,13.5,1.8
101,"케이크,컵케이크",378.9,0.41,49.5,0.03,0.1,0.09,0,27,5.4
102,"케이크,파운드케이크",363.6,0.41,63,0.11,0.16,0.27,0,27,5.4
103,"케이크,후르트케이크",312.3,0.59,63,0.05,0.09,0.72,0,2.7,1.8
104,크로쌍,344.8,0.52,4,0.05,0.1,0.72,0,22.4,0
105,"크로쌍,계란과치즈",234.4,1.1,47.2,0.12,0.24,0.96,0,23.2,0
106,"크로쌍,버터",324,0.6,4,0.31,0.19,1.76,0,22.4,0
107,크림빵,219.2,0.6,16,0.06,0.07,0.64,0,22.4,0
108,타코(패스트푸드),175.2,1.72,30.4,0.07,0.21,1.52,0.8,2.88,0.8
109,토스트,290,0.62,0,0.42,0.34,3.9,0,26,0
110,"파이,고구마파이",233.7,0,444.03,0.6,14.02,0.31,5.02,0,0
111,"파이,딸기파이",184.14,0,3.01,0.2,0.04,0.4,23.06,0,0
112,"파이,블랙베리",280.84,0,86.38,0.02,0.02,0.04,4.96,0,0
113,"파이,블루베리",280.84,0,40.12,0.02,0.02,0.04,4.72,0,0
114,"파이,사과파이(맥도날드)",254.15,0.4,0,0.02,0.02,0.2,0,3.4,2.55
115,"파이,애플파이",215.1,0.42,0,0.02,0.02,0.18,0,10.8,0.9
116,"파이,애플파이(버거킹)",305,0.59,0,0.28,0.16,0.6,5,5,3.75
117,"파이,체리파이",307.98,0,59,0.02,0.02,0.59,0,0,0
118,"파이,체리파이(맥도날드)",260.48,0,1,0.03,0.02,0.3,0,0,0
119,"파이,체리파이(버거킹)",357.12,0,32.38,0.24,0.17,0.5,8,0,0
120,"파이,파인애플파이",298.54,0,1.75,0.05,0.02,0.5,0.94,0,0
121,"파이,피칸파이",389.85,0.53,63.28,0.06,0.05,0.23,0,13.56,1.13
122,"파이,피칸파이(버거킹)",458.78,0,9.04,0.28,0.18,0,0,0,0
123,"파이,호박파이",240.54,0,547.2,0.03,0.11,0.59,0,0,0
124,팥빵,234.4,0.34,4.8,0.07,0.05,0.64,0,24,4.8
125,패스트리,320.8,0.53,1.6,0.06,0.09,0.56,0,12.8,0.8
126,"푸딩,커스터드",116,0.1,57.44,0.06,0.07,0.08,0,24,4.8
127,피자,403.5,2.27,70.5,0.26,0.15,1.65,3,51,1.5
128,"피자,디럭스(패스트푸드)",582.66,0.94,299.52,0.3,0.82,3.51,0,79.56,0
129,"피자,소시지(패스트푸드)",341.7,0,198.9,0.26,0.24,2.19,26.01,0,0
130,"피자,쇠고기,(패스트푸드)",420.8,0,204.8,0.16,0.16,5.12,8,0,0
131,"피자,슈프림(패스트푸드)",678.3,1.02,326.4,0.33,0.92,3.7,0,86.7,0
132,"피자,씬크리스피,슈퍼슈프림(피자헛)",462.84,2.86,259.84,0.55,0.45,5.03,4.06,69.02,2.03
133,"피자,씬크리스피,슈프림(피자헛)",460,2.82,256,0.54,0.44,4.96,4,68,2
134,"피자,씬크리스피,치즈(피자헛)",398.12,1.91,173.16,0.43,0.38,5.83,2.96,137.64,1.48
135,"피자,씬크리스피,페퍼로니(피자헛)",413.18,1.07,170.82,0.42,0.38,5.75,2.92,108.04,1.46
136,"피자,야채(패스트푸드)",219.24,0,126.36,0.14,0.22,1.8,10,0,0
137,"피자,치즈(패스트푸드)",408.48,2.37,215.28,0.53,0.46,7.36,2.94,171.12,1.84
138,"피자,치즈,쇠고기,야채(패스트푸드)",184.07,0,101.12,0.21,0.17,1.98,1.98,0,0
139,"피자,콤비네이션피자(패스트푸드)",673.2,1.02,326.4,0.43,0.43,4.59,18,86.7,0
140,"피자,크러스트,슈퍼슈프림(피자헛)",556.47,0,311.04,0.66,0.53,6.03,4.86,0,0
141,"피자,크러스트,슈프림(피자헛)",540.14,0,305.92,0.65,0.53,5.93,4.78,0,0
